Frequency[Hz] Measured_harmonics_[MPa]_abs Measured_harmonics_[MPa]_cos Measured_harmonics_[MPa]_sin
0.0 0.731647006648434 0.731647006648434 0.0
12.5 0.949765116392289 0.6491913795201073 -0.6932563227785508
25.0 1.4293835491828604 0.34026605656291686 -1.3882925993556663
37.5 1.2192348349605377 0.06823002902350658 -1.2173242156141892
50.0 1.1214793358404538 -0.06572186167342728 -1.1195519360955632
62.5 0.921899036802332 -0.10879533621901562 -0.9154569399344017
75.0 0.7897944466790228 -0.11662932809111876 -0.7811356270418333
87.5 0.655679043317694 -0.14808643646525332 -0.6387373600949211
100.0 0.5237466417241683 -0.1387957202733435 -0.5050210814918008
112.5 0.4241638539819863 -0.12944451447004465 -0.40392956403123825
125.0 0.33875257346191234 -0.11543815019554787 -0.3184765917716692
137.5 0.26868762726174933 -0.10407075134887543 -0.24771418965660666
150.0 0.21142593948980484 -0.0897989027985599 -0.19140816321495124
162.5 0.163427799541015 -0.07761576234788124 -0.1438208576597129
175.0 0.12703989621908096 -0.0630473202311497 -0.1102912990358973
187.5 0.09858400008307379 -0.05461051042686415 -0.08207616720642391
200.0 0.0763685612845555 -0.04392807770519262 -0.06246984185828766
212.5 0.05830062069268278 -0.037054117709883864 -0.04501060690430804
225.0 0.04503707452429821 -0.029662145203691453 -0.033889455935767324
237.5 0.03370840086710456 -0.024042261867592687 -0.023626805397842385
